Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
ON553992,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME161-54/2017,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27486,GenBank,complete,,,,China,China,,Homo sapiens,,2017,,"Human coronavirus NL63 isolate HCoV-NL63/BIME161-54/2017, complete genome"
ON553994,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME199-24/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27535,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME199-24/2018, complete genome"
ON553995,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME202-25/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27525,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME202-25/2018, complete genome"
ON553996,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME206-27/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27557,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME206-27/2018, complete genome"
ON553997,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME207-12/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27590,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME207-12/2018, complete genome"
ON553998,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME209-28/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27527,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME209-28/2018, complete genome"
ON553999,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME212-47/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27524,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME212-47/2018, complete genome"
ON554000,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME223-29/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27492,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME223-29/2018, complete genome"
ON554001,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME226-30/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27537,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME226-30/2018, complete genome"
ON554002,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME231-31/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27538,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME231-31/2018, complete genome"
ON554003,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME236-41/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27532,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME236-41/2018, complete genome"
ON554004,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME241-07/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27535,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME241-07/2018, complete genome"
ON554005,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME242-02/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27540,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME242-02/2018, complete genome"
ON554006,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME245-09/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27526,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME245-09/2018, complete genome"
ON554007,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME260-03/2017,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27517,GenBank,complete,,,,China,China,,Homo sapiens,,2017,,"Human coronavirus NL63 isolate HCoV-NL63/BIME260-03/2017, complete genome"
ON554008,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME267-32/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27536,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME267-32/2018, complete genome"
ON554009,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME268-33/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27510,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME268-33/2018, complete genome"
ON554010,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME275-34/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27541,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME275-34/2018, complete genome"
ON554011,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME276-35/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27557,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME276-35/2018, complete genome"
ON554012,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME308-36/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27525,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME308-36/2018, complete genome"
ON554013,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME323-82/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27507,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME323-82/2018, complete genome"
ON554014,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME334-37/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27512,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME334-37/2018, complete genome"
ON554015,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME336-38/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27489,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME336-38/2018, complete genome"
ON554016,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME337-04/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27516,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME337-04/2018, complete genome"
ON554017,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME341-10/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27562,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME341-10/2018, complete genome"
ON554018,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME350-44/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27546,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME350-44/2018, complete genome"
ON554019,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME353-05/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27553,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME353-05/2018, complete genome"
ON554020,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME354-45/2018,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27541,GenBank,complete,,,,China,China,,Homo sapiens,,2018,,"Human coronavirus NL63 isolate HCoV-NL63/BIME354-45/2018, complete genome"
ON554021,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME377-78/2019,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27514,GenBank,complete,,,,China,China,,Homo sapiens,,2019,,"Human coronavirus NL63 isolate HCoV-NL63/BIME377-78/2019, complete genome"
ON554022,Human coronavirus NL63,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-NL63/BIME412-77/2019,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,ssRNA(+),27489,GenBank,complete,,,,China,China,,Homo sapiens,,2019,,"Human coronavirus NL63 isolate HCoV-NL63/BIME412-77/2019, complete genome"
ON554023,Human coronavirus OC43,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-OC43/BIME001-45/2015,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30673,GenBank,complete,,,,China,China,,Homo sapiens,,2015,,"Human coronavirus OC43 isolate HCoV-OC43/BIME001-45/2015, complete genome"
ON554024,Human coronavirus OC43,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-OC43/BIME016-70/2016,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30684,GenBank,complete,,,,China,China,,Homo sapiens,,2016,,"Human coronavirus OC43 isolate HCoV-OC43/BIME016-70/2016, complete genome"
ON554025,Human coronavirus OC43,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-OC43/BIME019-62/2016,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30682,GenBank,complete,,,,China,China,,Homo sapiens,,2016,,"Human coronavirus OC43 isolate HCoV-OC43/BIME019-62/2016, complete genome"
ON554026,Human coronavirus OC43,,"Ye,R.-Z., Gong,C., Cui,X.-M., Liu,J.-Y., Fan,H., Xie,H., Wang,Q., Ren,Z.-Y., Zhang,Y.-W., Xia,L.-Y., Zhang,M.-Z., Li,Y.-Y., Li,Z.-H., Du,L.-F., Zhang,J., Cheng,N., Shi,W., Li,M.-Z., Zhao,L., Jiang,J.-F., Jia,N., Huang,F., Cao,W.-C.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2023-02-21T00:00:00Z,HCoV-OC43/BIME020-63/2016,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30733,GenBank,complete,,,,China,China,,Homo sapiens,,2016,,"Human coronavirus OC43 isolate HCoV-OC43/BIME020-63/2016, complete genome"
